Employee ID,Laptop Issued,Training Completed,Security Access Granted,Email Setup,Onboarding Complete
OB157,True,True,True,True,True
OB158,True,True,True,True,True
OB159,False,True,False,False,False
OB160,True,False,True,True,False
OB161,False,False,False,False,False
OB162,True,True,True,True,True
OB163,True,True,True,True,False
OB164,True,True,True,True,True
OB165,True,True,True,True,True
OB166,False,True,False,False,False
OB167,True,True,False,True,False
OB168,False,False,False,False,False
OB169,True,False,False,True,False
OB170,True,True,True,True,True
OB171,True,True,True,True,True
OB172,True,True,True,True,True
OB173,False,True,False,False,False
OB174,True,True,True,True,True
OB175,True,True,True,True,True
OB176,True,True,False,True,False
OB177,True,True,True,True,True
OB178,True,False,True,True,False
OB179,True,True,True,True,True
OB180,True,True,True,True,True
OB181,True,True,True,True,True
OB182,True,False,False,True,False
OB183,False,False,False,False,False
OB184,True,True,True,True,True
OB185,True,True,True,True,True
OB186,False,False,False,False,False
OB187,True,False,True,True,False
OB188,True,True,True,True,True
OB189,True,True,True,True,False
OB190,True,True,True,True,True
OB191,True,True,True,True,True
OB192,True,False,True,True,False
OB193,True,True,False,True,False
OB194,True,True,True,True,True
OB195,True,True,True,True,True
OB196,True,False,True,True,False
OB197,True,True,True,True,True
OB198,True,False,True,True,False
OB199,True,True,True,True,False
OB200,True,False,True,True,False
